anime_id,Anime Name,rating
55071,Amagami-san Chi no Enmusubi,0
49785,Fairy Tail: 100-nen Quest,0
54362,Hametsu no Oukoku,0
54265,Kekkon Yubiwa Monogatari,0
54492,Kusuriya no Hitorigoto,0
50392,Mato Seihei no Slave,0
47794,MILGЯAM,9
52347,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",0
44074,Shiguang Dailiren,0
40357,Tate no Yuusha no Nariagari Season 3,0
52741,Undead Unluck,0
51180,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,0
54041,16bit Sensation: Another Layer,6
53802,2.5-jigen no Ririsa,8
38101,5-toubun no Hanayome,6
39783,5-toubun no Hanayome ∬,6
48548,5-toubun no Hanayome Movie,5
22199,Akame ga Kill!,6
6547,Angel Beats!,9
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8
24833,Ansatsu Kyoushitsu,7
30654,Ansatsu Kyoushitsu 2nd Season,8
21995,Ao Haru Ride,2
36882,Arifureta Shokugyou de Sekai Saikyou,5
38572,Assassins Pride,5
6347,Baka to Test to Shoukanjuu,6
8516,Baka to Test to Shoukanjuu Ni!,5
5081,Bakemonogatari,6
33573,BanG Dream!,6
54959,BanG Dream! It's MyGO!!!!!,8
269,Bleach,7
54309,Blue Archive the Animation,5
49596,Blue Lock,7
47917,Bocchi the Rock!,8
31043,Boku dake ga Inai Machi,9
31964,Boku no Hero Academia,7
33486,Boku no Hero Academia 2nd Season,8
36456,Boku no Hero Academia 3rd Season,8
38408,Boku no Hero Academia 4th Season,7
49918,Boku no Hero Academia 6th Season,8
54789,Boku no Hero Academia 7th Season,7
39565,Boku no Hero Academia the Movie 2: Heroes:Rising,7
52578,Boku no Kokoro no Yabai Yatsu,7
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,9
55894,Bokura no Ame-iro Protocol,3
40904,Bokutachi no Remake,9
38186,Bokutachi wa Benkyou ga Dekinai,9
40004,Bokutachi wa Benkyou ga Dekinai!,8
53439,Boushoku no Berserk,4
50549,Bubble,6
50583,Buta no Liver wa Kanetsu Shiro,4
44511,Chainsaw Man,8
28999,Charlotte,7
49613,Chiyu Mahou no Machigatta Tsukaikata,6
14741,Chuunibyou demo Koi ga Shitai!,8
16934,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,7
18671,Chuunibyou demo Koi ga Shitai! Ren,7
27601,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,5
2167,Clannad,8
4181,Clannad: After Story,10
59135,Class no Daikirai na Joshi to Kekkon suru Koto ni Natta.,7
1,Cowboy Bebop,8
57334,Dandadan,9
38656,Darwin's Game,6
15583,Date A Live,7
19163,Date A Live II,7
36633,Date A Live III,6
41461,Date A Live IV,7
1535,Death Note,9
43814,Deatte 5-byou de Battle,5
35120,Devilman: Crybaby,4
37982,Domestic na Kanojo,1
38691,Dr. Stone,9
48549,Dr. Stone: New World,9
55644,Dr. Stone: New World Part 2,8
40852,Dr. Stone: Stone Wars,9
223,Dragon Ball,8
30694,Dragon Ball Super,5
36946,Dragon Ball Super: Broly,8
48903,Dragon Ball Super: Super Hero,6
813,Dragon Ball Z,5
39026,Dumbbell Nan Kilo Moteru?,6
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7
32887,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,6
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,5
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,5
32901,Eromanga-sensei,5
38853,Ex-Arm,1
6702,Fairy Tail,7
22043,Fairy Tail (2014),8
35972,Fairy Tail: Final Series,5
48997,Fantasy Bishoujo Juniku Ojisan to,5
38680,Fruits Basket 1st Season,9
40417,Fruits Basket 2nd Season,9
42938,Fruits Basket: The Final,9
50425,"Fuufu Ijou, Koibito Miman.",7
34280,Gamers!,4
23289,Gekkan Shoujo Nozaki-kun,7
54968,Giji Harem,9
52481,Gimai Seikatsu,6
27631,God Eater,3
17895,Golden Time,8
37105,Grand Blue,7
50587,Gridman Universe,8
55997,"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",7
20583,Haikyuu!!,8
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8
52742,Haikyuu!! Movie: Gomisuteba no Kessen,7
28891,Haikyuu!! Second Season,9
38883,Haikyuu!! To the Top,8
40776,Haikyuu!! To the Top Part 2,8
34403,Hajimete no Gal,4
37517,Happy Sugar Life,7
15809,Hataraku Maou-sama!,8
48413,Hataraku Maou-sama!!,3
53200,Hataraku Maou-sama!! 2nd Season,5
55877,Henjin no Salad Bowl,5
27989,Hibike! Euphonium,9
31988,Hibike! Euphonium 2,9
40938,Hige wo Soru. Soshite Joshikousei wo Hirou.,6
934,Higurashi no Naku Koro ni,8
1889,Higurashi no Naku Koro ni Kai,8
3652,Higurashi no Naku Koro ni Rei,6
54103,Hikikomari Kyuuketsuki no Monmon,7
39468,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,6
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,6
42429,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,6
42897,Horimiya,7
53262,Hoshikuzu Telepath,8
12189,Hyouka,9
42361,"Ijiranaide, Nagatoro-san",5
50197,"Ijiranaide, Nagatoro-san 2nd Attack",6
35413,Imouto sae Ireba Ii.,8
25159,Inou-Battle wa Nichijou-kei no Naka de,8
52830,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta",3
52359,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,5
51462,Isekai Nonbiri Nouka,7
50220,Isekai Shoukan wa Nidome desu,2
49438,Isekai Yakkyoku,6
38790,Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7
40530,Jaku-Chara Tomozaki-kun,7
50803,Jaku-Chara Tomozaki-kun 2nd Stage,9
52619,Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou,7
46569,Jigokuraku,6
52969,"Jitsu wa Ore, Saikyou deshita?",1
40748,Jujutsu Kaisen,4
51009,Jujutsu Kaisen 2nd Season,7
5680,K-On!,9
9617,K-On! Movie,9
7791,K-On!!,9
48316,Kage no Jitsuryokusha ni Naritakute!,7
54595,Kage no Jitsuryokusha ni Naritakute! 2nd Season,6
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,10
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,10
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,10
7054,Kaichou wa Maid-sama!,4
48675,Kakkou no Iinazuke,3
8525,Kami nomi zo Shiru Sekai,7
10080,Kami nomi zo Shiru Sekai II,7
16706,Kami nomi zo Shiru Sekai: Megami-hen,7
50869,Kami wa Game ni Ueteiru.,4
53879,Kamonohashi Ron no Kindan Suiri,7
43969,Kanojo mo Kanojo,5
53040,Kanojo mo Kanojo Season 2,6
40839,"Kanojo, Okarishimasu",6
42963,"Kanojo, Okarishimasu 2nd Season",6
53050,"Kanojo, Okarishimasu 3rd Season",7
1530,Kanon (2006),8
57217,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,9
45613,Kawaii dake ja Nai Shikimori-san,7
39326,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,3
52990,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",5
55887,"Kekkon suru tte, Hontou desu ka",8
38000,Kimetsu no Yaiba,8
